No.,유지관리번호,작업유형,시공사,고객사,유지관리명,진척률,작업기간,,비용계정,PO금액,PR번호,PO번호
,,,,,,,시작,종료,,,,
33,CI25015289,기타 보수(기숙사/사택),대양이엔지,솔루션,기숙사 3동 비상 발전기 라디에터 수리,100,2025-10-28,2025-10-29,기숙사/사택 수선비,"1,798,475",93088888-10,4570115958-10
34,CI25015295,사택 공가 수장공사,일성건축,화학,사택 1-101 수장공사 및 기타보수,100,2025-11-05,2025-11-20,기숙사/사택 수선비,"4,198,950",94494344-10,4510048776-10
35,CI25015296,사택 공가 수장공사,일성건축,화학,사택 1-107 수장공사 및 기타보수,100,2025-11-03,2025-11-20,기숙사/사택 수선비,"3,969,975",94494318-10,4510048766-10
36,CI25015297,사택 공가 수장공사,일성건축,화학,사택 1-201 수장공사 및 기타보수,100,2025-11-05,2025-11-19,기숙사/사택 수선비,"4,554,775",94494319-10,4510048767-10
37,CI25015298,사택 공가 수장공사,일성건축,화학,사택 1-304 수장공사 및 기타보수,100,2025-11-05,2025-11-19,기숙사/사택 수선비,"4,114,025",94494320-10,4510048768-10
38,CI25015299,사택 공가 수장공사,일성건축,화학,사택 1-405 수장공사 및 기타보수,100,2025-11-05,2025-11-18,기숙사/사택 수선비,"4,114,025",94494321-10,4510048769-10
39,CI25015301,사택 공가 수장공사,일성건축,화학,사택 1-406 수장공사 및 기타보수,100,2025-11-05,2025-11-18,기숙사/사택 수선비,"4,198,950",94494322-10,4510048770-10
40,CI25015302,사택 공가 수장공사,일성건축,화학,사택 104-202 수장공사 및 기타보수,100,2025-11-05,2025-11-25,기숙사/사택 수선비,"6,409,150",94494323-10,4510048771-10
41,CI25015303,사택 단열작업,일성건축,화학,사택 104-202 거실 및 방 단열작업,100,2025-11-06,2025-11-13,기숙사/사택 수선비,"3,285,200",94494324-10,4510048772-10
42,CI25015304,사택 공가 수장공사,일성건축,화학,사택 104-203 수장공사 및 기타보수,100,2025-11-04,2025-11-17,기숙사/사택 수선비,"6,731,650",94494341-10,4510048773-10
43,CI25015305,사택 공가 수장공사,일성건축,화학,사택 104-401 수장공사 및 기타보수,100,2025-11-03,2025-11-14,기숙사/사택 수선비,"5,469,600",94494342-10,4510048774-10
44,CI25015306,사택 공가 수장공사,일성건축,화학,사택 104-301 수장공사 및 기타보수,100,2025-11-03,2025-11-14,기숙사/사택 수선비,"5,372,850",94494343-10,4510048775-10
45,CI25015342,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 AB동 1층 롤방충망 36개 교체(공용부),10,2025-11-13,2025-12-08,기숙사/사택 수선비,"6,353,250",93089380-10,4570115987-10
46,CI25015343,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 A동 롤방충망 78개 교체(주방 및 복도),70,2025-11-13,2025-12-08,기숙사/사택 수선비,"13,765,375",93089380-20,4570115988-10
47,CI25015344,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 B동 롤방충망 44개 교체(주방 및 복도),80,2025-11-13,2025-12-08,기숙사/사택 수선비,"7,764,725",93089380-30,4570115989-10
48,CI25016398,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 103-202 세대내 보일러 납품,10,2025-11-28,2025-11-28,투자,"1,075,000",93100035-20,4570128161-10
49,CI25015391,기타 보수(기숙사/사택),일성건축,솔루션,사택 어린이집 현관 차양막 추가 설치(건축),100,2025-10-22,2025-10-24,어린이집,"4,006,525",93091650-10,4570118622-10
50,CI25015393,기타 보수(기숙사/사택),대양이엔지,솔루션,사택 어린이집 현관 차양막 추가 설치(전기),0,2025-10-22,2025-10-22,어린이집,"875,050",93091650-20,4570118572-10
51,CI25015394,기타 보수(기숙사/사택),수안,솔루션,기숙사 AB동 지하 주차장 유인휀 교체,0,2025-12-01,2025-12-02,투자,"12,887,100",93091690-10,4570118104-10
52,CI25015610,기타 보수(기숙사/사택),일성건축,화학,기숙사 B동 롤방충망 32개 교체(주방 및 복도),90,2025-11-13,2025-12-08,기숙사/사택 수선비,"5,646,975",94502273-10,4510053683-10
53,CI25015666,기타 보수(기숙사/사택),수안,솔루션,기숙사 AB동 급배기 및 제연휀 윤활유 교체,0,2025-12-01,2025-12-04,기숙사/사택 수선비,"8,964,425",93094068-10,4570120159-10
54,CI25015667,긴급 건축 보수(후정산),일성건축,솔루션,기숙사 및 사택 긴급보수 작업(건축)-7차,100,2025-10-01,2025-11-14,기숙사/사택 수선비,"4,897,700",93094070-10,4570120157-10
55,CI25015668,기타 보수(기숙사/사택),일성건축,솔루션,사택 101동 3-4라인 지하 2층 자동문 루바 환기창 설치,100,2025-11-06,2025-11-06,기숙사/사택 수선비,"2,008,100",93094075-10,4570120158-10
56,CI25015686,사택 공가 수장공사,일성건축,솔루션,사택 5-403 수장공사,100,2025-10-30,2025-11-25,기숙사/사택 수선비,"4,200,025",93094188-10,4570121822-10
57,CI25015751,전기 단전 작업,대양이엔지,솔루션,사택 2동 차단기 교체 및 전력량계 인입선 개선(1-2라인),100,2025-11-10,2025-11-10,기숙사/사택 수선비,"4,763,325",93094471-10,4570121684-10
