회계 연도,매입 마감 (월),발주처,비용배분,S&I 센터,작업유형,장소,건물동,계약명,낙찰금액, PO금액,PO번호,PR번호,PR금액,담당,부서,전체 세대수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,임차사택 공가 수장공사,원외(임차사택),기타,임차사택 수장공사 이민준책임(재료연구소),480000,516000,4507724263-10,90387802-40,533000,이민준,재료연구소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,임차사택 공가 수장공사,원외(임차사택),기타,임차사택 수장공사 서정진책임(중앙연구소),480000,516000,4507724264-10,90387802-50,533000,서정진,중앙연구소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,임차사택 공가 수장공사,원외(임차사택),기타,임차사택 수장공사 안경성책임(ESS전지개발),1800000,1935000,4507724265-10,90387802-60,2008000,안경성,ESS전지개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,임차사택 공가 수장공사,원외(임차사택),기타,임차사택 수장공사 길이진책임(중앙연구소),1800000,1935000,4507724266-10,90387802-70,2008000,길이진,중앙연구소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,임차사택 공가 수장공사,원외(임차사택),기타,임차사택 수장공사 김봉준책임(정보전자),1800000,1935000,4507724267-10,90387802-80,2008000,김봉준,정보전자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,01월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,53310 에어컨 수리,537000,577275,4507417263-10,86541204-10,591000,양승윤,중앙연구소.미래기술.혁신전지1PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,01월31일,엘지화학,단독,운영센터,기계수리,원내(화학),위험물창고,위험물 창고 사무실 에어컨 수리,344000,369800,4507425608-10,87402668-10,382000,김동현,기술연구원.대전.안전환경팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,01월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,3L204 에어컨 수리,854000,918050,4507450744-10,87523491-10,938000,이보리,중앙연구소.분석.형상분석PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,01월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P133 항온항습기 수리,840000,903000,4507452120-10,87527455-10,1215000,권수지,중앙연구소.기반기술.부가중합PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,01월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32214 항온항습기 수리,660000,709500,4507459584-10,87577614-10,832000,류태욱,Display재료.감광재개발2팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,02월28일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P138 에어컨 수리,495000,532125,4507470513-10,87655007-10,547000,문종민,정보전자소재연구소.고기능다층필름PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,02월28일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,52221 항온항습기 수리,730000,784750,4507470488-10,87669176-10,973000,황지영,중앙연구소.기반기술.점착PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,02월28일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P241 항온항습기 수리,1060000,1139500,4507474456-10,87687338-10,1403000,박상균,Display재료.LCD재료개발담당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,42314 에어컨 수리,1441000,1549075,4507488024-10,87754419-10,1618000,홍정화,Battery.기획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,3L218 에어컨 수리,780000,838500,4507492771-10,87777530-10,857000,조나래,중앙연구소.형상분석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P311 외 2실 에어컨 청소,468000,503100,4507496283-10,87776090-10,517000,최장혁,자동차전지.BMS개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(화학),위험물창고,위험물 창고 사무실 시스템 에어컨 수리,536000,576200,4507499095-10,87804789-10,632000,김동현,대전.안전환경팀 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,4연구동 2층 Dry Room 출입문 수리,800000,860000,4507508568-10,87851572-10,893000,한승주,Battery.기획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,04월30일,엘지화학,단독,운영센터,기계수리,원내(화학),전지동,전지동 3층 에어컨 에어가이드 설치,380000,408500,4507525104-10,87984566-10,422000,김하라,ESS전지.개발.Validation팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23223 항온항습기 수리,840000,903000,4507517205-10,87937827-10,974000,정용석,기초소재연구소.합성고무.HPL PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P133 항온항습기 수리,750000,806250,4507517207-10,87948176-10,826000,박근호,중앙연구소.기반기술.부가중합PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,33318 항온항습기 수리,540000,580500,4507517204-10,87948006-10,612000,김성인,정보전자소재연구소.표면소재PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P136 항온항습기 수리,580000,623500,4507534031-10,88015748-10,662000,문종민,정보전자소재연구소.고기능다층필름PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23310 항온항습기 수리,990000,1064250,4507543416-10,88032842-10,1271000,이금형,기초소재연구소.SAP/접착제.PCE PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,본관동 2층 서버실 항온항습기 수리,690000,741750,4507541374-10,88073489-10,777000,손대봉,대전.정보지원팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32214 항온항습기 수리,1420000,1526500,4507546520-10,88040479-10,1849000,류태욱,Display재료.감광재개발2팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P136 항온항습기 수리,1390000,1494250,4507546518-10,88079574-10,1708000,문종민,정보전자소재연구소.고기능다층필름PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P133 항온항습기 수리,1290000,1386750,4507543415-10,88101500-10,1616000,박근호,중앙연구소.기반기술.부가중합PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,5L220 항온제습기 수리,860000,924500,4507566008-10,88277379-10,961000,김진일,중앙연구소.분석.가스분석PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,05월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,33310 항온항습기 수리,330000,354750,4507566007-10,88254680-10,404000,김성인,정보전자소재연구소.표면소재PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,본관동 2층 서버실 항온항습기 실외기 세척,480000,516000,4507573572-10,88373279-10,507000,손대봉,대전.정보지원팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,22215 항온항습기 수리,390000,419250,4507575845-10,88412340-10,479000,허성범,기초소재연구.SAP/접착제.HSS PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,5L214 에어컨 수리,425000,456875,4507576135-10,88412152-10,471000,허남준,중앙연구소.기반기술.CFD PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P306 에어컨 수리,335000,360125,4507582447-10,88511718-10,372000,하벼리,자동차전지.개발.Pack.과천.CAE팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),가공Pilot동,GH24 항온항습기 수리,1850000,1988750,4507583766-10,88526905-10,2049000,강병화,정보전자소재연구소.아크릴필름PJT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,5L220 항온제습기 세척 수리,860000,924500,4507587510-10,88547435-10,1033000,김진일,중앙연구소.분석.가스분석PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),특수2Pilot동,특수 2P동 지하 에어컨 수리,315000,338625,4507589560-10,88562424-10,352000,조우식,자동차전지.개발.Pack.과천.CAE팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P동 기계실 공조용 냉동기 수리,1350000,1451250,4507593503-10,88619948-10,1481000,홍정화,Battery연구소.기획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,06월30일,엘지화학,단독,운영센터,기계수리,원내(화학),가공Pilot동,가공Pilot GH21 에어컨수리,485000,521375,4507593644-10,88601570-10,537000,강병화,정보전자소재연구소.아크릴필름PJT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,본관동 식당 냉동고 수리,830000,892250,4507601637-10,88732443-10,1158000,이상재,대전.업무지원팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,42316 에어컨 수리,728000,782600,4507603593-10,88745997-10,818000,홍정화,Battery연구소.기획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4Pilot동,4P212 항온항습기 수리,1710000,1838250,4507603592-10,88762783-10,1872000,임정수,Display재료.감광재개발2팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),가공Pilot동,GH12 항온항습기 수리,950000,1021250,4507603591-10,88765606-10,1120000,양희왕,정보전자소재연구소.Wet Barrier PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5PL32 Chiller 수리,1060000,1139500,4507605094-10,88805994-10,1156000,박상준,정보전자소재연구소.Flex소재PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,07월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,4연구동 2층 에어컨 실외기 휀모터 교체,191000,205325,4507606570-10,88813849-10,208000,홍정화,Battery연구소.기획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,51306 항온항습기 수리,1930000,2074750,4507616324-10,88837926-10,2202000,임미라,중앙연구소.분석.무기분석PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4Pilot동,4P234 항온항습기 수리,950000,1021250,4507616323-10,88884308-10,1054000,양희왕,정보전자소재연구소.Wet.Barrier PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,22408 에어컨 수리,271000,291325,4507622005-10,88899415-10,304000,이승민,기초소재연구소.촉매개발유기촉매개발1팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4Pilot동,4P328 항온항습기 수리,487000,523525,4507617451-10,88912496-10,540000,정우용,Display재료OLED개발4팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,22307 항온항습기 수리,390000,419250,4507625125-10,88912486-10,479000,이승모,기초소재연구소.SAP/접착제.AES PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),,압축파일러실 항온항습기 수리,1500000,1612500,4507624753-10,88973577-10,2576000,강병화,정보전자소재연구소.혁신기술PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,본관동 지하 서버실 에어컨 수리,335000,360125,4507625126-10,89024266-10,372000,허원준,중앙연구소.기반기술.계산화학PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,정보전자소재 기획팀 에어컨수리,550000,591250,4507625127-10,89038825-10,608000,박지영,정보전자소재연구소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),특수2Pilot동,2S141 항온항습기 수리,1800000,1935000,4507640038-10,89257516-10,2130000,강형구,정보전자소재연구소.습식박막PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P 1층 FCCL 크린룸 공조기 수리,800000,860000,4507644806-10,89354890-10,1085000,백관열,정보전자소재연구소.TPIF PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),특수1Pilot동,1SB52 항온항습기 수리,980000,1053500,4507646699-10,89165715-10,2380000,이현정,TECH센터.제품설계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23316 항온항습기 수리,650000,698750,4507647630-10,89362212-10,873000,이용만,기초소재연구소.SAP/접착제.SDBS PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23310 항온항습기 수리,740000,795500,4507649058-10,89385069-10,873000,이금형,기초소재연구소.SAP/접착제.WBAR PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23316 항온항습기 디스플레이 교체,930000,999750,4507655573-10,89492326-10,1054000,이용만,기초소재연구소.SAP/접착제.SDBS PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),가공Pilot동,온실동 CHILLER 수리,710000,763250,4507655574-10,89492325-10,850000,김태형,PVC/가소제.CNT TFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,22305 항온항습기 수리,400000,430000,4507657055-10,89523075-10,564000,손정민,기초소재연구소.SAP/접착제.HPS PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,3L218 에어컨 수리,379000,407425,4507658649-10,89523073-10,420000,조나래,중앙연구소.분석.형상분석PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),4Pilot동,4P236 항온항습기 수리,380000,408500,4507663251-10,89569658-10,528000,신무용,Battery연구소.전극공정선행연구PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),특수1Pilot동,1SB61 항온항습기 수리,760000,817000,4507663249-10,89535611-10,899000,김현기,TECH센터.제품설계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P136 항온항습기 수리,970000,1042750,4507663250-10,89593138-10,1122000,신성진,정보전자소재연구소.High Barrier PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,23310 항온항습기 수리,780000,838500,4507663247-10,89601759-10,966000,이금형,기초소재연구소.SAP/접착 제.WBAR PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,31204 항온항습기 수리,930000,999750,4507663248-10,89593290-10,1175000,이택용,재료연구소.접착재료PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),충방전동,충방전동 서버실 에어컨 수리,322000,346150,4507665036-10,89564582-10,359000,전준구,Battery연구소.기술전략.기 획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,22414 에어컨 수리,412000,442900,4507665035-10,89593291-10,460000,서의령,기초소재연구소.촉매개발.유기촉매개발2팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P 1층 FCCL 크린룸 공조기 수리,830000,892250,4507664280-10,89624629-10,1118000,백관열,정보전자소재연구소.TPIF PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5연구동,5L212 에어컨 수리,1207000,1297525,4507668610-10,89647660-10,1321000,김효정,중앙연구소.기반기술.CFD PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),4Pilot동,4P320 제습 공조기 수리,1320000,1419000,4507668186-10,89649606-10,1605000,임정호,재료연구소.양극재1PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,2연구동 1층 항온항습 공조기 수리,5600000,6020000,4507676266-10,89728279-10,6422000,김민주,아크릴/SAP.TECH센터.SAP TS팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,3연구동 Chiller 수리,460000,494500,4507678570-10,89751593-10,612000,이민준,재료연구소.양극재1PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),특수1Pilot동,1SB52 항온항습기 수리,980000,1053500,4507679560-10,89707767-10,1200000,이현정,TECH센터.제품설계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,09월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P241 Cold Room 냉방기 수리,910000,978250,4507684234-10,89876147-10,991000,박상균,Display재료.염료개발팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),Pack안전동,팩안전동 시스템 에어컨 분해 세척,3740000,4020500,4507681024-10,89789991-10,4159000,김주형,전지.품질.개발.Pack개발검증팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),본관동,HB405 항온항습기 수리,370000,397750,4507687309-10,89885531-10,408000,명희복,정보전자소재연구소.건식박막PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,31218 CHILLER PUMP 교체,900000,967500,4507690341-10,89885529-10,994000,이민준,재료연구소.양극재1PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,41316 에어컨 수리,513000,551475,4507702498-10,90071905-10,571000,백주열,Battery연구소.전극공정선 행연구PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),3Pilot동,3P241 콜드룸 수리,370000,397750,4507702497-10,90080951-10,467000,박상균,Display재료.염료개발팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,10월31일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P241 에어컨 수리,511000,549325,4507707206-10,90190054-10,569000,이진수,중앙연구소.기반기술.LPT PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32214 항온항습기 수리,950000,1021250,4507718188-10,90329804-10,1174000,류태욱,Display재료.차세대컬러개 발팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32310 항온항습기 수리,960000,1032000,4507715566-10,90266090-10,1117000,최아남,Display재료.투명재료개발 팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P133 항온항습기 수리,940000,1010500,4507715567-10,90204355-10,1335000,박근호,중앙연구소.기반기술.부가 중합PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),2연구동,21404 항온항습기 수리,759000,815925,4507725610-10,90418749-10,922000,김민주,아크릴/SAP.TECH센터.SAP TS팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32212 항온항습기 수리,632000,679400,4507725985-10,90434288-10,792000,김정곤,Display재료.해외컬러개발 팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),5Pilot동,5P133 항온항습기 가용전 교체,490000,526750,4507733101-10,90490292-10,648000,박근호,중앙연구소.기반기술.부가 중합PJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,32212 항온항습기 휀모터 교체,230000,247250,4507733102-10,90511728-10,288000,김정곤,Display재료.해외컬러개발 팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),3연구동,3L218 에어컨 수리,962000,1034150,4507737929-10,90549978-10,1059000,조나래,중앙연구소.분석.형상분석P JT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,11월30일,엘지화학,단독,운영센터,기계수리,원내(화학),4연구동,41318 드라이룸 공조기 수리,850000,913750,4507739487-10,90545793-10,1008000,이병배,Battery연구소.기술전략.기 획팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(공통),1Pilot동,1P동 기계실 수중펌프 교체수리,2172000,2334900,4507488026-10,87742668-10,2800000,서남석,대전.시설에너지팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(공통),4Pilot동,4P동 응축수 펌프 교체수리,1809000,1944675,4507488025-10,87740710-10,2200000,서남석,대전.시설에너지팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(공통),4연구동,4연구동 기계실 수중펌프 교체수리,3405000,3660375,4507486269-10,87740708-10,3700000,서남석,대전.시설에너지팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,03월30일,엘지화학,단독,운영센터,기계수리,원내(공통),5연구동,5연구동 수중펌프 교체수리외 배관보수,1270000,1365250,4507488027-10,87742670-10,1400000,서남석,대전.시설에너지팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,04월30일,엘지화학,단독,운영센터,기계수리,원내(공통),기타,정문 경비실 에어컨 수리,419000,,,,,공통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,04월30일,엘지화학,단독,운영센터,기계수리,원내(공통),3연구동,3연구동 공동구내 수중펌프교체 수리,4996000,,,,,공통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17년,08월31일,엘지화학,단독,운영센터,기계수리,원내(공통),동력동,[공통]동력동 전기실 냉방기 수리,3640000,,,,,공통,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
