작업유형별 보기,#WORKTYPELINK#,https://jonggunelee.github.io/wyggkr/03 작업 유형별 현황_2025-06-00.html,,,,,,,,,,
절감비 현황,#COSTSAVINGSLINK#,https://jonggunelee.github.io/wyggkr/04 월별 비용 절감_(기숙사 및 사택)_2025-06-00.html,,,,,,,,,,
구분,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
집행B, - ," 12,978,475 "," 124,823,625 "," 65,062,225 "," 35,205,175 ",,,,,,,
집행B 평균," 47,613,900 "," 47,613,900 "," 47,613,900 "," 47,613,900 "," 47,613,900 ",,,,,,,
목표A,,,,,,,,,,,,
목표A 평균,,,,,,,,,,,,
실적C," 23,590,875 "," 6,608,025 "," 25,072,225 "," 58,085,475 "," 44,299,675 "," 31,460,950 "," 68,754,850 "," 56,670,775 "," 52,263,275 "," 42,916,150 "," 121,974,679 "," 210,562,400 "
실적C 평균," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "," 61,854,946 "
